date,equity,open_trades,closed_trades,margin_used,capacity_utilization,capacity_utilization_initial,day_mtm_pnl,theta_pnl_est,delta,gamma,vega,theta,equity_adjusted,drawdown
2022-09-01,9998145.995845752,27,0,93787.40352903168,0.011725599372123656,0.01172342544112896,0.0,801.1842456489588,-204185.43727128822,-5414.662841055569,-402.7534390004052,801.1842456489588,10000000.0,0.0
2022-09-02,9998556.509950144,54,0,180950.75598034452,0.02262210997660886,0.022618844497543065,2355.45507553322,1422.8313900019436,-335754.3862165328,-10422.263910589596,-753.5969231970832,1422.8313900019436,10000410.514104392,0.0
2022-09-05,10002443.896841848,81,0,266465.6103522573,0.0333000631021273,0.03330820129403216,5851.560059425118,2036.8788432329352,-448780.35228631046,-14232.646590183778,-1068.2503835855005,2036.8788432329352,10004297.900996096,0.0
2022-09-06,10010501.960436918,108,0,349040.967022582,0.04358434876718057,0.04363012087782275,10046.426035103323,2452.1318220571015,-605570.0890264503,-17411.94748770808,-1241.1937602346563,2452.1318220571015,10012355.964591166,0.0
2022-09-07,10021925.078233214,135,0,428864.16883432545,0.05349074223346853,0.05360802110429068,13435.964233329672,2989.4189043545557,-804967.413171135,-18215.191216676583,-1338.6533781468743,2989.4189043545557,10023779.082387462,0.0
2022-09-08,10028979.494996084,159,3,489232.1662415664,0.06097731161052661,0.0611540207801958,9097.289805285947,2725.2507196467664,-900917.952352828,-19403.262571180032,-1539.2381707673692,2725.2507196467664,10030833.499150332,0.0
2022-09-09,10017468.72824798,183,6,550390.9523275902,0.06867889574433586,0.06879886904094877,-9451.638335999824,3122.3379433080677,-1009364.131580571,-22557.47776061954,-2091.1879385904986,3122.3379433080677,10019322.732402228,-0.0011475384123442256
2022-09-12,10020718.431347052,207,9,618868.8951802579,0.07719866836646878,0.07735861189753224,5322.8071648596015,3065.0170300690806,-1122674.1670288492,-22368.245291260566,-2387.0136301874422,3065.0170300690806,10022572.4355013,-0.0008235670196033084
2022-09-13,10043419.521177612,231,12,670464.0046982951,0.08344568342541986,0.0838080005872869,24791.276765651633,2837.9028679667017,-1234367.5647034217,-22306.548319800768,-2500.568755071914,2837.9028679667017,10045273.52533186,0.0
2022-09-14,10070942.53642849,255,15,731400.1789908597,0.09078099894141584,0.09142502237385745,29634.056191740052,2722.076549221966,-1365394.5096207012,-24001.669009506193,-2595.310763535089,2722.076549221966,10072796.540582739,0.0
2022-09-15,10085023.995223222,276,21,788509.2559140141,0.09773269457359397,0.09856365698925176,16218.077248281053,2677.0216336746225,-1622698.4880294502,-26174.680217463545,-2691.335428474467,2677.0216336746225,10086877.99937747,0.0
2022-09-16,10094953.571389588,297,27,852429.26507421,0.10555140980168863,0.10655365813427625,12102.439957835431,3244.8741014551183,-1827624.749236082,-33399.478463457504,-2878.0674133681937,3244.8741014551183,10096807.575543836,0.0
2022-09-19,10108333.173535928,318,33,915524.8340132384,0.11321411976335076,0.11444060425165481,15574.75587869842,3365.89930093999,-2031773.3945235019,-32305.44397943059,-2950.121826591087,3365.89930093999,10110187.177690176,0.0
2022-09-20,10101068.043580737,312,39,895591.8561646491,0.11082885645119983,0.11194898202058114,-6926.092644473489,3185.139839211743,-2100288.2911559376,-30131.549679464086,-3069.0161809192855,3185.139839211743,10102922.047734985,-0.0007185950000236289
2022-09-21,10103861.39133365,306,45,873127.4457307692,0.1080190300412862,0.10914093071634615,3082.3052933134986,1950.4696404832125,-2092297.8248639652,-22122.729314900324,-2518.3516813280175,1950.4696404832125,10105715.395487899,-0.00044230459077405313
2022-09-22,10120291.020471634,324,54,897258.1525553687,0.11082415401152587,0.11215726906942108,18580.27235204208,2583.541412600805,-2167726.987624272,-29646.861778462837,-2764.262751070254,2583.541412600805,10122145.024625883,0.0
2022-09-23,10148576.432940539,315,63,852668.8318864723,0.1050232066438963,0.10658360398580903,28625.979211657293,1672.1283913278576,-2211675.2075876608,-19193.099767426087,-2225.2275225613284,1672.1283913278576,10150430.437094787,0.0
2022-09-26,10169781.469216531,306,72,811294.0470221438,0.09971871685221238,0.10141175587776798,21479.167700194805,999.0467409459478,-2240978.2808112963,-21923.509338051776,-2047.509539023162,999.0467409459478,10171635.47337078,0.0
2022-09-27,10173071.76012753,300,78,795851.1448528256,0.09778894266381946,0.0994813931066032,3549.05933910037,974.3448428583125,-2237308.7047741245,-21373.033876215242,-1982.302952020345,974.3448428583125,10174925.764281778,0.0
2022-09-28,10155926.906715816,321,84,890240.2871915887,0.10957152106457399,0.11128003589894858,-15006.421428176502,2107.2449644103103,-2357019.2808813164,-29057.31862260101,-2541.79751726694,2107.2449644103103,10157780.910870064,-0.0016850101719561614
2022-09-29,10151507.775665475,312,93,853996.2624915215,0.10515633260640664,0.10674953281144019,-4076.7714754970993,2108.5545740096386,-2338721.151783935,-29488.78938704082,-2478.272932381599,2108.5545740096386,10153361.779819723,-0.0021193259746182134
2022-09-30,10154365.546593374,306,99,831339.9303785505,0.10233774904054095,0.10391749129731882,3110.9986863297268,2329.052007283498,-2322215.1836832184,-26364.684424806528,-2423.111603682122,2329.052007283498,10156219.550747622,-0.0018384619178080347
2022-10-03,10150945.936644489,321,111,894117.4270190803,0.11010272251960207,0.11176467837738503,-1280.569889122118,2913.8386184550727,-2457247.6663359255,-35384.201579433575,-2916.36928462829,2913.8386184550727,10152799.940798737,-0.002174543971682958
2022-10-04,10151761.641223531,318,114,894412.714299801,0.11013023476977572,0.11180158928747513,1144.721273859328,2486.453078814635,-2480796.947820334,-32163.50271445593,-2826.03736135861,2486.453078814635,10153615.64537778,-0.0020943758605891424
2022-10-05,10176768.872581458,309,123,848664.6636008626,0.104240436506247,0.10608308295010782,25257.394509961407,2400.5571879431177,-2407134.0605809046,-30317.82292462328,-2900.177311289881,2400.5571879431177,10178622.876735706,0.0
2022-10-06,10177692.353738382,300,132,810572.628349445,0.09955260487556793,0.10132157854368062,1170.5387254076036,2256.671112055806,-2269816.2486068914,-30608.000358983074,-2826.140509318501,2256.671112055806,10179546.35789263,0.0
2022-10-07,10177342.894069469,321,138,884480.5341332931,0.10863352833585581,0.11056006676666164,1771.6767903873415,3420.469890498267,-2427013.4211750063,-45368.936029054814,-3370.247943770638,3420.469890498267,10179196.898223717,-3.432959157781185e-05
2022-10-10,10191043.736282494,309,150,836548.8046871468,0.10260833266135905,0.10456860058589335,14016.852360571127,2965.5636526916105,-2353026.063676518,-40770.89626865155,-3272.0004802616368,2965.5636526916105,10192897.740436742,0.0
2022-10-11,10149654.794036694,309,150,835204.9582225925,0.10286125183209519,0.10440061977782406,-41150.333550356176,3008.3378047240894,-2370116.1451182906,-41552.82250356701,-3136.9560199330367,3008.3378047240894,10151508.798190942,-0.004060566808357545
2022-10-12,10150329.580860825,303,156,820013.3693390145,0.10098358910497947,0.10250167116737681,907.3387633955033,2892.548870315465,-2425014.7603657087,-38820.21391736867,-3128.6699926852116,2892.548870315465,10152183.585015073,-0.003994365141146227
2022-10-13,10168713.155814692,324,162,914036.3341483315,0.11235889931973171,0.11425454176854144,20529.351367323878,4010.0647879987164,-2633011.1885696277,-44155.93688561861,-3474.64582080785,4010.0647879987164,10170567.15996894,-0.0021907980474691518
2022-10-14,10180449.53751212,318,168,892000.0377706228,0.10952365542452855,0.11150000472132784,12085.27337135797,3199.079548858266,-2615503.493522453,-36141.39123590317,-3355.3600014946546,3199.079548858266,10182303.541666368,-0.0010393706520124594
2022-10-17,10189620.656766618,309,177,869536.0789180167,0.10666933885568451,0.1086920098647521,9439.512451006103,2903.56138541849,-2612475.711247258,-32591.354154439297,-3290.603688617646,2903.56138541849,10191474.660920866,-0.0001396148133842921
2022-10-18,10193814.225666873,309,177,870419.3857239186,0.10673377089954965,0.10880242321548982,4458.731615079962,2943.139167705904,-2615783.000504139,-37166.52659278851,-3336.7240157402307,2943.139167705904,10195668.229821121,0.0
2022-10-19,10198526.839692311,303,183,847391.2658563977,0.10386196937757475,0.10592390823204971,4976.60987836144,3047.3668849253168,-2649368.4201098965,-36245.81936236237,-3310.5603844707966,3047.3668849253168,10200380.84384656,0.0
2022-10-20,10199437.942558156,300,186,829736.7330556139,0.10168902660722312,0.10371709163195174,1186.323130342266,2512.7216549758896,-2672165.4356503296,-31559.45395585395,-3277.1287651517123,2512.7216549758896,10201291.946712404,0.0
2022-10-21,10193503.567294003,324,189,904770.7693917017,0.1109494350272598,0.1130963461739627,-3761.3070875037506,3403.4178021989687,-2729561.988388848,-52184.635709804876,-3727.690203482571,3403.4178021989687,10195357.571448252,-0.0005817278140015755
2022-10-24,10213690.443125267,318,195,891983.3848201557,0.10916516779453365,0.11149792310251946,20546.875023606684,3123.889073155986,-2772344.3603513157,-48169.704025691375,-3591.5851527556574,3123.889073155986,10215544.447279515,0.0
2022-10-25,10206458.284305885,318,195,893336.7821329151,0.10940827332662592,0.11166709776661439,-6937.904419604989,3154.3256015164134,-2772465.5444761696,-48384.107442316636,-3669.2053897914097,3154.3256015164134,10208312.288460134,-0.0007079562774852526
2022-10-26,10210315.250029534,318,195,894104.3248791836,0.10946091072905378,0.11176304060989795,4147.301943453127,2929.322916885326,-2780630.22171861,-44571.16941152142,-3621.866328338509,2929.322916885326,10212169.254183782,-0.0003303977691205017
2022-10-27,10265474.746555228,315,198,875890.021337585,0.10665483610871312,0.10948625266719814,55460.30997825059,2574.2937000442002,-2696856.8260205747,-41913.5488479863,-3657.1004875454933,2574.2937000442002,10267328.750709476,0.0
2022-10-28,10266782.626501009,306,207,844004.7162107131,0.10275915383074052,0.10550058952633914,1603.0118439286148,2110.071123704521,-2653931.859930289,-37389.35974735744,-3612.6090553423273,2110.071123704521,10268636.630655257,0.0
2022-10-31,10273472.355770422,303,210,833987.056150623,0.10147336597472174,0.10424838201882787,6978.983370685606,1993.1500267136719,-2619669.5792139224,-36012.04463733993,-3524.6756971016875,1993.1500267136719,10275326.35992467,0.0
2022-11-01,10277023.197641918,300,213,825316.6174509266,0.1003837153982849,0.10316457718136582,3832.7658851699543,1946.921506369865,-2604908.624669155,-35148.258254972425,-3495.8411416406207,1946.921506369865,10278877.201796167,0.0
2022-11-02,10233398.711499156,324,216,876274.442704874,0.10703609663427534,0.10953430533810925,-41447.72623838662,2989.5742072319863,-2632700.15406303,-41684.47437388913,-3733.2586547582227,2989.5742072319863,10235252.715653405,-0.004244090603119465
2022-11-03,10235839.382713012,321,219,863575.9622187455,0.10545983699163106,0.10794699527734318,2781.3316919373456,2841.5933471979383,-2654051.9814162934,-40071.080365712754,-3693.9692110224746,2841.5933471979383,10237693.38686726,-0.0040066452901791096
2022-11-04,10237180.1337013,315,225,850940.2214038678,0.10390315134273777,0.10636752767548348,1624.5457559110134,2882.7286494522805,-2676280.2949870545,-38388.31121201493,-3790.379210892573,2882.7286494522805,10239034.137855548,-0.003876207795697362
2022-11-07,10246879.064852983,303,237,811972.2418802798,0.0990511643522468,0.10149653023503498,9970.755345666166,2649.7720736562633,-2540089.9464165852,-35228.60721056605,-3647.776591356098,2649.7720736562633,10248733.06900723,-0.0029326289435258734
2022-11-08,10291532.616586443,300,240,806841.1324493847,0.09799817511497652,0.10085514155617309,44913.00604604035,2360.375196126153,-2487497.776057433,-33989.01401929809,-3870.55373538154,2360.375196126153,10293386.620740691,0.0
2022-11-09,10297404.997052608,324,243,864107.2301201423,0.10489380945581349,0.10801340376501779,8023.992577597304,3141.2110042075083,-2589656.017725368,-38293.00425675564,-4062.924252377284,3141.2110042075083,10299259.001206856,0.0
2022-11-10,10293208.537870366,324,243,864210.8891460708,0.10494916210607463,0.10802636114325885,-3872.293482550822,3062.805685244956,-2606535.2938045026,-38946.423218152704,-4152.675283392443,3062.805685244956,10295062.542024614,-0.00040745253437652116
2022-11-11,10306421.539468354,318,249,843442.657049762,0.10229576941664542,0.10543033213122024,13470.839011748565,2880.638931747391,-2543086.7542057917,-40277.620644519615,-4102.050073714143,2880.638931747391,10308275.543622602,0.0
2022-11-14,10332477.3791903,306,261,821095.0004894917,0.09933423640287666,0.10263687506118646,26312.384527755523,2721.9175906936784,-2616140.0537888287,-39223.88887746061,-3883.116804288305,2721.9175906936784,10334331.383344548,0.0
2022-11-15,10331538.370564932,303,264,817122.0376109693,0.09886258080633357,0.10214025470137116,-684.5469926450694,2655.3099347302727,-2617395.9531436875,-39162.336983182264,-3850.6664176263125,2655.3099347302727,10333392.37471918,-9.086302640546453e-05
2022-11-16,10330117.374299353,324,270,863867.1214716475,0.10453258784126833,0.10798339018395595,745.3921446728671,3284.408356330643,-2719525.3809229396,-40810.73329562387,-4177.203097158298,3284.408356330643,10331971.378453601,-0.00022836551329776422
2022-11-17,10336690.115025507,324,270,862099.909231145,0.10425241296268385,0.10776248865389314,6909.038682068103,3180.9545190879917,-2695183.997699119,-40907.62962495461,-4245.518894003723,3180.9545190879917,10338544.119179755,0.0
2022-11-18,10348707.528818252,321,273,856228.9304529642,0.10342220611470157,0.10702861630662051,12293.999736710488,3118.4311569419415,-2683316.2745192978,-41004.05658437116,-4084.0765118650584,3118.4311569419415,10350561.5329725,0.0
2022-11-21,10361849.026140485,315,279,847321.9819242111,0.10221655176921354,0.1059152477405264,13421.28876350185,3152.809860361134,-2726372.529731516,-41502.28181478397,-4105.560649052086,3152.809860361134,10363703.030294733,0.0
2022-11-22,10367634.247735968,315,279,846903.6310989432,0.10210907460444577,0.1058629538873679,6062.941710446846,2938.9334681367422,-2733926.6766816177,-40271.910968863674,-4067.142263263719,2938.9334681367422,10369488.251890216,0.0
2022-11-23,10324635.33730547,306,288,814180.5629220583,0.09857255684133244,0.10177257036525729,-42714.1450522292,2488.049235117049,-2798111.4907133514,-36001.83003325698,-3780.1982832171434,2488.049235117049,10326489.341459718,-0.004146676227986498
2022-11-24,10333136.043250095,306,288,812966.2558235183,0.09834456988913974,0.10162078197793978,8787.57345786631,2494.2032138089185,-2800851.029410926,-36094.8466906539,-3727.9735024855026,2494.2032138089185,10334990.047404343,-0.0033268955659006808
2022-11-25,10337430.236608848,306,288,814105.045686691,0.09844141956136611,0.10176313071083637,4583.502410445815,2474.862184047205,-2812967.3988146754,-34067.7360296471,-3672.9227833694663,2474.862184047205,10339284.240763096,-0.0029127774093976244
2022-11-28,10395221.540682899,303,291,799813.9729516059,0.0961756767065331,0.09997674661895074,58083.13514408092,2370.0443094491566,-2743262.0009180456,-35627.10316124763,-3668.799638091096,2370.0443094491566,10397075.544837147,0.0
2022-11-29,10398329.459803797,303,291,800218.7986174814,0.09619559585398302,0.10002734982718517,3390.555049594096,2225.353533319748,-2756225.5084557254,-34853.990281285565,-3636.2698096812637,2225.353533319748,10400183.463958045,0.0
2022-11-30,10346814.799805602,321,300,852826.7515195003,0.10303010733500363,0.10660334393993753,-49308.43074508626,3135.7901283101655,-2862487.7196491873,-51086.18170200267,-3875.3827434457976,3135.7901283101655,10348668.80395985,-0.004953245313096629
2022-12-01,10401327.374001468,318,303,846636.4398867617,0.10174620140345779,0.10582955498584522,54863.32232468762,2986.7086058549003,-2818250.147642793,-49104.049262665874,-3928.9978386043804,2986.7086058549003,10403181.378155716,0.0
2022-12-02,10407629.8980595,312,309,835459.0673710244,0.10034213787795186,0.10443238342137805,6579.384907363725,2943.2373647835198,-2819200.006237027,-47960.02734443873,-3895.6003231924233,2943.2373647835198,10409483.902213749,0.0
2022-12-05,10358721.48475133,306,315,817680.0363254555,0.09867048234778905,0.10221000454068194,-48625.170345629595,3137.7677852986767,-2769137.018999141,-42400.27189111424,-3694.508106860583,3137.7677852986767,10360575.488905579,-0.004698447470365799
2022-12-06,10366387.092258977,300,321,798197.6448552,0.09624829240787856,0.0997747056069,7930.139391029759,3031.7665717450673,-2708703.6250417344,-40764.84386190783,-3640.2607511775564,3031.7665717450673,10368241.096413225,-0.003962041364197954
2022-12-07,10369605.064656457,318,330,856332.7909394243,0.1032263024483607,0.10704159886742803,5401.835435520845,3773.32496445037,-2800819.520973578,-44819.92725776619,-3989.9304558269228,3773.32496445037,10371459.068810705,-0.003652902849002614
2022-12-08,10373563.163138693,315,333,849596.0416662779,0.10237514684024185,0.10619950520828474,4300.0636491175,3852.4192710901816,-2761733.229487838,-44511.60818613344,-3945.5266316832212,3852.4192710901816,10375417.167292941,-0.003272663202213352
