date,delta,gamma,vega,theta
2022-09-01,-204185.43727128822,-5414.662841055569,-402.7534390004052,801.1842456489588
2022-09-02,-335754.3862165328,-10422.263910589596,-753.5969231970832,1422.8313900019436
2022-09-05,-448780.35228631046,-14232.646590183778,-1068.2503835855005,2036.8788432329352
2022-09-06,-605570.0890264503,-17411.94748770808,-1241.1937602346563,2452.1318220571015
2022-09-07,-804967.413171135,-18215.191216676583,-1338.6533781468743,2989.4189043545557
2022-09-08,-900917.952352828,-19403.262571180032,-1539.2381707673692,2725.2507196467664
2022-09-09,-1009364.131580571,-22557.47776061954,-2091.1879385904986,3122.3379433080677
2022-09-12,-1122674.1670288492,-22368.245291260566,-2387.0136301874422,3065.0170300690806
2022-09-13,-1234367.5647034217,-22306.548319800768,-2500.568755071914,2837.9028679667017
2022-09-14,-1365394.5096207012,-24001.669009506193,-2595.310763535089,2722.076549221966
2022-09-15,-1622698.4880294502,-26174.680217463545,-2691.335428474467,2677.0216336746225
2022-09-16,-1827624.749236082,-33399.478463457504,-2878.0674133681937,3244.8741014551183
2022-09-19,-2031773.3945235019,-32305.44397943059,-2950.121826591087,3365.89930093999
2022-09-20,-2100288.2911559376,-30131.549679464086,-3069.0161809192855,3185.139839211743
2022-09-21,-2092297.8248639652,-22122.729314900324,-2518.3516813280175,1950.4696404832125
2022-09-22,-2167726.987624272,-29646.861778462837,-2764.262751070254,2583.541412600805
2022-09-23,-2211675.2075876608,-19193.099767426087,-2225.2275225613284,1672.1283913278576
2022-09-26,-2240978.2808112963,-21923.509338051776,-2047.509539023162,999.0467409459478
2022-09-27,-2237308.7047741245,-21373.033876215242,-1982.302952020345,974.3448428583125
2022-09-28,-2357019.2808813164,-29057.31862260101,-2541.79751726694,2107.2449644103103
2022-09-29,-2338721.151783935,-29488.78938704082,-2478.272932381599,2108.5545740096386
2022-09-30,-2322215.1836832184,-26364.684424806528,-2423.111603682122,2329.052007283498
2022-10-03,-2457247.6663359255,-35384.201579433575,-2916.36928462829,2913.8386184550727
2022-10-04,-2480796.947820334,-32163.50271445593,-2826.03736135861,2486.453078814635
2022-10-05,-2407134.0605809046,-30317.82292462328,-2900.177311289881,2400.5571879431177
2022-10-06,-2269816.2486068914,-30608.000358983074,-2826.140509318501,2256.671112055806
2022-10-07,-2427013.4211750063,-45368.936029054814,-3370.247943770638,3420.469890498267
2022-10-10,-2353026.063676518,-40770.89626865155,-3272.0004802616368,2965.5636526916105
2022-10-11,-2370116.1451182906,-41552.82250356701,-3136.9560199330367,3008.3378047240894
2022-10-12,-2425014.7603657087,-38820.21391736867,-3128.6699926852116,2892.548870315465
2022-10-13,-2633011.1885696277,-44155.93688561861,-3474.64582080785,4010.0647879987164
2022-10-14,-2615503.493522453,-36141.39123590317,-3355.3600014946546,3199.079548858266
2022-10-17,-2612475.711247258,-32591.354154439297,-3290.603688617646,2903.56138541849
2022-10-18,-2615783.000504139,-37166.52659278851,-3336.7240157402307,2943.139167705904
2022-10-19,-2649368.4201098965,-36245.81936236237,-3310.5603844707966,3047.3668849253168
2022-10-20,-2672165.4356503296,-31559.45395585395,-3277.1287651517123,2512.7216549758896
2022-10-21,-2729561.988388848,-52184.635709804876,-3727.690203482571,3403.4178021989687
2022-10-24,-2772344.3603513157,-48169.704025691375,-3591.5851527556574,3123.889073155986
2022-10-25,-2772465.5444761696,-48384.107442316636,-3669.2053897914097,3154.3256015164134
2022-10-26,-2780630.22171861,-44571.16941152142,-3621.866328338509,2929.322916885326
2022-10-27,-2696856.8260205747,-41913.5488479863,-3657.1004875454933,2574.2937000442002
2022-10-28,-2653931.859930289,-37389.35974735744,-3612.6090553423273,2110.071123704521
2022-10-31,-2619669.5792139224,-36012.04463733993,-3524.6756971016875,1993.1500267136719
2022-11-01,-2604908.624669155,-35148.258254972425,-3495.8411416406207,1946.921506369865
2022-11-02,-2632700.15406303,-41684.47437388913,-3733.2586547582227,2989.5742072319863
2022-11-03,-2654051.9814162934,-40071.080365712754,-3693.9692110224746,2841.5933471979383
2022-11-04,-2676280.2949870545,-38388.31121201493,-3790.379210892573,2882.7286494522805
2022-11-07,-2540089.9464165852,-35228.60721056605,-3647.776591356098,2649.7720736562633
2022-11-08,-2487497.776057433,-33989.01401929809,-3870.55373538154,2360.375196126153
2022-11-09,-2589656.017725368,-38293.00425675564,-4062.924252377284,3141.2110042075083
2022-11-10,-2606535.2938045026,-38946.423218152704,-4152.675283392443,3062.805685244956
2022-11-11,-2543086.7542057917,-40277.620644519615,-4102.050073714143,2880.638931747391
2022-11-14,-2616140.0537888287,-39223.88887746061,-3883.116804288305,2721.9175906936784
2022-11-15,-2617395.9531436875,-39162.336983182264,-3850.6664176263125,2655.3099347302727
2022-11-16,-2719525.3809229396,-40810.73329562387,-4177.203097158298,3284.408356330643
2022-11-17,-2695183.997699119,-40907.62962495461,-4245.518894003723,3180.9545190879917
2022-11-18,-2683316.2745192978,-41004.05658437116,-4084.0765118650584,3118.4311569419415
2022-11-21,-2726372.529731516,-41502.28181478397,-4105.560649052086,3152.809860361134
2022-11-22,-2733926.6766816177,-40271.910968863674,-4067.142263263719,2938.9334681367422
2022-11-23,-2798111.4907133514,-36001.83003325698,-3780.1982832171434,2488.049235117049
2022-11-24,-2800851.029410926,-36094.8466906539,-3727.9735024855026,2494.2032138089185
2022-11-25,-2812967.3988146754,-34067.7360296471,-3672.9227833694663,2474.862184047205
2022-11-28,-2743262.0009180456,-35627.10316124763,-3668.799638091096,2370.0443094491566
2022-11-29,-2756225.5084557254,-34853.990281285565,-3636.2698096812637,2225.353533319748
2022-11-30,-2862487.7196491873,-51086.18170200267,-3875.3827434457976,3135.7901283101655
2022-12-01,-2818250.147642793,-49104.049262665874,-3928.9978386043804,2986.7086058549003
2022-12-02,-2819200.006237027,-47960.02734443873,-3895.6003231924233,2943.2373647835198
2022-12-05,-2769137.018999141,-42400.27189111424,-3694.508106860583,3137.7677852986767
2022-12-06,-2708703.6250417344,-40764.84386190783,-3640.2607511775564,3031.7665717450673
2022-12-07,-2800819.520973578,-44819.92725776619,-3989.9304558269228,3773.32496445037
2022-12-08,-2761733.229487838,-44511.60818613344,-3945.5266316832212,3852.4192710901816
2022-12-09,-2742274.2500782786,-44627.85048910373,-3893.295582996033,3786.885632019386
2022-12-12,-2602657.0710971556,-44259.95233492593,-3754.4237083850867,3757.139715352966
2022-12-13,-2585844.283591152,-42201.05439411575,-3768.892756363927,3175.746636733402
2022-12-14,-2636045.9297036077,-45657.11187360735,-4134.391967115139,3707.1187532769245
2022-12-15,-2574169.1980956667,-45669.51750112794,-3966.6471954602202,3662.330298148734
2022-12-16,-2565915.6824822593,-44089.97505490249,-4086.6844664215146,3716.7702795728505
2022-12-19,-2562468.0797854303,-45002.80571110277,-3953.3863706008606,3744.002623251516
2022-12-20,-2600345.8987152637,-41854.09633761328,-3878.2292350503185,3234.816754624727
2022-12-21,-2866274.9744804716,-44168.605194569485,-4336.28159266002,4097.825242097924
2022-12-22,-2830901.659925333,-45015.286233118575,-4292.612882988648,4230.336365959785
2022-12-23,-2861962.6704858,-44846.2754198288,-4184.570688420074,3996.144466623318
2022-12-26,-2873499.83108662,-45303.88617301101,-4193.041613551796,4095.365691476241
2022-12-27,-2902901.7479321207,-42913.25707799418,-4004.9776255709876,3732.2425573170644
2022-12-28,-2812539.7786879656,-38216.94845415158,-3914.0487824904476,3204.939391985607
2022-12-29,-2825435.3736613356,-38604.67683271611,-3871.6064645603615,3185.5963273998595
2022-12-30,-2766187.776365306,-38908.68404378846,-3846.0957022370703,3145.800218159072
2023-01-02,-3001052.7635224746,-48251.981582421795,-4252.601722481076,4214.34592320737
2023-01-03,-2961401.13264324,-47275.22777625805,-4237.148177174659,4034.104209639513
2023-01-04,-2899501.2161147497,-46155.518356048444,-4180.9652059675145,3670.433153218844
2023-01-05,-2776850.0985447015,-46168.02343130854,-4259.460656580901,3724.9389485120464
2023-01-06,-3059370.110286194,-53054.37258827239,-4622.477780969119,4713.700751838981
2023-01-09,-2976046.186903637,-52227.12818033017,-4422.562160705212,4134.823965784241
2023-01-10,-2941217.847312434,-52571.48262999561,-4361.964678444011,3991.192549568763
2023-01-11,-2786168.2082012584,-52394.64703046307,-4337.940672553151,3871.2896772696477
2023-01-12,-2760303.3920189743,-51746.406327427576,-4159.729469427029,3473.0589083758637
2023-01-13,-3065548.0500666182,-55897.46225084311,-4735.839862186456,4465.459875038178
2023-01-16,-3025835.654960501,-57385.08946340257,-4338.595737058743,3959.4384699139814
2023-01-17,-2978704.3260862045,-59065.07937105409,-4296.050813233637,3884.0653538000965
2023-01-18,-2968758.276323124,-61348.29787361585,-4271.724116349936,3916.3023060995392
2023-01-19,-2969741.7843983867,-57619.7963059707,-4226.81075060567,3906.684431897911
2023-01-20,-3118106.6015091613,-58265.97855309927,-4866.642211698482,4816.056520496165
2023-01-23,-3184395.267895529,-63198.092902903714,-4337.835329491997,4075.0386420925583
2023-01-24,-3179654.6407694807,-62977.06351225545,-4461.0182703467935,4064.6928967500635
2023-01-25,-3188186.5627216427,-62279.738334692156,-4538.043170909667,4015.9268829948596
2023-01-26,-3157544.7104973397,-59823.27401474543,-4358.776940820442,3760.8460390143687
2023-01-27,-3036360.438375698,-53777.449586553375,-4585.599083822918,3709.3896651432738
2023-01-30,-3057410.217625501,-55232.16036896642,-4153.441521066725,3052.2148586997464
2023-01-31,-3176493.88431531,-60713.57082118081,-4773.644551117595,4169.653268994085
2023-02-01,-3199273.2980213757,-58521.35749140456,-4529.975936190875,3952.3565737885147
2023-02-02,-3129922.470253828,-60251.53568064896,-4515.231865181409,4008.688955377272
2023-02-03,-2890132.249253117,-58911.353477780416,-4684.577993289069,4255.796832541467
2023-02-06,-2847722.9362867386,-65989.30764509291,-4398.044219519188,3470.9653957974724
2023-02-07,-3025747.642390684,-67376.38753247472,-4776.770669394847,3908.0202307876916
2023-02-08,-3044766.3208999643,-66316.74158997012,-4667.872030764072,3764.7293937225163
2023-02-09,-3017379.126717479,-67756.87631415426,-4653.114637173072,3790.499641079921
2023-02-10,-2889168.863656967,-60695.786381361104,-4682.651042348558,3731.8026573044103
2023-02-13,-2910458.4375563855,-64479.90949290035,-4438.981867344353,3596.3048837340793
2023-02-14,-2868135.1628261902,-48891.87202484513,-4438.04588274625,3311.5710826632467
2023-02-15,-2839210.5520559605,-48886.43970724439,-4394.573016580737,3909.246800846611
2023-02-16,-2835466.0459955917,-47745.057402138365,-4372.816180547286,3918.575954797549
2023-02-17,-2857945.8721439387,-49983.15524650681,-4293.265308334552,3892.6776735014264
2023-02-20,-2828822.5166929625,-52878.163598721505,-4481.4039318915275,4600.940450953846
2023-02-21,-2769303.748002324,-49462.35481716713,-4551.021886816924,4380.400889708206
2023-02-22,-2746636.049164323,-49993.766426083734,-4504.480520533222,4461.895824246646
2023-02-23,-2730976.300122357,-49824.043215119535,-4443.880011390906,4502.905175382698
2023-02-24,-2705501.5293157306,-50081.788658564605,-4467.772042514939,4478.205920143574
2023-02-27,-2808400.958244441,-50121.88746687976,-4297.269743996998,4498.659914040952
2023-02-28,-2767790.0179223465,-47925.59668832859,-4193.167419150461,4238.2993135301085
2023-03-01,-2749382.8530826042,-48138.44095005796,-4116.154374242496,4162.2468308009675
2023-03-02,-2910804.7068262235,-64359.13305449941,-4696.058392091342,5312.526090020645
2023-03-03,-2924425.8573194845,-62839.28123340843,-4549.915851643303,4941.086159462845
2023-03-06,-2848579.7715461776,-58089.911189197934,-4384.2816729798205,4734.700384849337
2023-03-07,-2983093.585390225,-70943.07116871756,-4870.528457743163,5374.204195810131
2023-03-08,-2982608.040068155,-71132.02433634104,-4772.0554238736095,4949.090056248759
2023-03-09,-2989027.1166514885,-69968.16111225981,-4613.538993970753,4556.701913991511
2023-03-10,-3035444.9207152687,-70915.29654897633,-4630.416407135047,4853.213524198931
2023-03-13,-3117847.7390445536,-54880.94677682926,-3978.670758020934,3760.6642833400288
2023-03-14,-3125794.494144169,-63404.905153309104,-4852.96214099322,4961.286704154239
2023-03-15,-3121280.5416337964,-62308.65636060859,-4568.663808723761,4243.07737199872
2023-03-16,-3113149.960096229,-62259.30873196197,-4252.66609935069,3871.2629804680323
2023-03-17,-3242056.728154682,-52021.098415816705,-4153.952478978096,3582.6700293829194
2023-03-20,-3215634.833435062,-49274.01112918312,-4029.230601920204,3667.248281882585
2023-03-21,-3232396.2710431456,-82766.63471069641,-4731.933824534315,4603.861279121225
2023-03-22,-3335639.1546103354,-74707.24104839138,-4525.510078205334,4383.008028936337
2023-03-23,-3334249.0541472165,-67546.83652980143,-4710.0159617137015,4366.990303976261
2023-03-24,-3350826.5308338013,-64058.38275991738,-4158.669687090922,3606.45250330255
2023-03-27,-3262875.960060301,-55477.164237450495,-4075.418650628447,3690.8365238380725
2023-03-28,-3530108.1746557234,-62280.07614068375,-4765.807746149314,4797.051411024786
2023-03-29,-3512907.9141963883,-61893.06291065965,-4962.73079729556,4734.425833023448
2023-03-30,-3544327.8458624594,-62149.14192650827,-4895.285935819861,4724.859391149404
2023-03-31,-3545348.0874048173,-59780.04499683842,-4740.6088260879405,4368.232445839431
2023-04-03,-3426717.7552971346,-56820.59081234722,-4572.303758695862,4111.083749869098
2023-04-04,-3594381.6719807712,-57187.56538737783,-4477.00861219962,3922.116709651545
2023-04-05,-3690281.299572504,-63387.992313149465,-5028.393185430743,4950.780048629478
2023-04-06,-3580378.798264754,-62783.7930159699,-5059.552225455533,4865.869306293081
2023-04-07,-3591904.947999213,-60264.781132619115,-4914.376274158775,4570.701773492816
2023-04-10,-3568762.650898096,-60998.402597607965,-4697.177803459517,4469.555519818302
2023-04-11,-3537625.344462218,-60459.36206342461,-4665.303370718604,4407.950480834199
2023-04-12,-3657056.9154269686,-59100.43308905806,-4573.544654589223,4202.6601569773875
2023-04-13,-3656826.8977726838,-64229.232309325234,-5031.025032519484,4916.311632182993
2023-04-14,-3572517.638095539,-61911.48881107178,-5154.505061746611,4868.140641457172
2023-04-17,-3568797.802580001,-60237.879865744595,-4901.275936532722,4518.788847868252
2023-04-18,-3594190.6531056967,-58188.943637094715,-4795.927133747962,4237.578685727768
2023-04-19,-3474349.702499562,-56370.172924369916,-4766.120179451769,3990.5887788890304
2023-04-20,-3653318.2248901925,-64229.31374478022,-5124.226300183374,4909.92877992212
2023-04-21,-3592267.280496713,-63739.70021386326,-5103.9868705518875,4631.39251387766
2023-04-24,-3621023.8120244327,-62185.48921926654,-5040.875687875743,4715.208714225475
2023-04-25,-3630349.9938049694,-60687.570374800045,-4739.048857976476,4555.874677806697
2023-04-26,-3607980.2060629255,-59572.8845236109,-4602.180858087543,4276.477767111804
2023-04-27,-3632238.207048743,-59905.078628770876,-4633.4316342720695,4282.571766994185
2023-04-28,-3671735.567653642,-60439.678512856684,-4637.79040313606,4139.631561263071
2023-05-01,-3574125.6871738276,-59536.18050243284,-4481.724416896283,4293.766002884597
2023-05-02,-3620182.201481523,-61320.111991574,-4864.206375476995,4936.077273306532
