date,pair,new_trades
2006-09-01,XAUUSD,6
2006-09-01,XAGUSD,13
2006-09-01,NZDJPY,1
2006-09-01,AUDJPY,2
2006-09-01,USDJPY,3
2006-09-01,GBPJPY,1
2006-09-01,EURJPY,1
2006-09-04,XAUUSD,6
2006-09-04,XAGUSD,13
2006-09-04,NZDJPY,1
2006-09-04,AUDJPY,2
2006-09-04,USDJPY,3
2006-09-04,GBPJPY,1
2006-09-04,EURJPY,1
2006-09-05,XAUUSD,7
2006-09-05,XAGUSD,14
2006-09-05,AUDJPY,2
2006-09-05,USDJPY,2
2006-09-05,GBPJPY,1
2006-09-05,EURJPY,1
2006-09-06,XAUUSD,6
2006-09-06,XAGUSD,14
2006-09-06,USDJPY,5
2006-09-06,GBPJPY,1
2006-09-06,EURJPY,1
2006-09-07,XAUUSD,6
2006-09-07,XAGUSD,14
2006-09-07,USDJPY,5
2006-09-07,GBPJPY,1
2006-09-07,EURJPY,1
2006-09-08,XAUUSD,6
2006-09-08,XAGUSD,14
2006-09-08,USDJPY,5
2006-09-08,GBPJPY,1
2006-09-08,EURJPY,1
2006-09-11,XAUUSD,7
2006-09-11,XAGUSD,12
2006-09-11,USDJPY,6
2006-09-11,GBPJPY,1
2006-09-11,EURJPY,1
2006-09-12,XAUUSD,7
2006-09-12,XAGUSD,12
2006-09-12,USDJPY,5
2006-09-12,AUDJPY,1
2006-09-12,GBPJPY,1
2006-09-12,EURJPY,1
2006-09-13,XAUUSD,7
2006-09-13,XAGUSD,13
2006-09-13,USDJPY,4
2006-09-13,AUDJPY,1
2006-09-13,GBPJPY,1
2006-09-13,EURJPY,1
2006-09-14,XAUUSD,7
2006-09-14,XAGUSD,11
2006-09-14,USDJPY,6
2006-09-14,AUDJPY,1
2006-09-14,GBPJPY,1
2006-09-14,EURJPY,1
2006-09-15,XAUUSD,8
2006-09-15,XAGUSD,11
2006-09-15,USDJPY,5
2006-09-15,AUDJPY,1
2006-09-15,GBPJPY,1
2006-09-15,EURJPY,1
2006-09-18,XAUUSD,8
2006-09-18,XAGUSD,13
2006-09-18,AUDJPY,1
2006-09-18,USDJPY,3
2006-09-18,GBPJPY,1
2006-09-18,EURJPY,1
2006-09-19,XAUUSD,8
2006-09-19,XAGUSD,12
2006-09-19,USDJPY,4
2006-09-19,EURJPY,2
2006-09-19,GBPJPY,1
