date,pair,new_trades
2022-09-01,XAGUSD,2
2022-09-01,GBPJPY,2
2022-09-01,XAUUSD,5
2022-09-01,CADJPY,5
2022-09-01,EURJPY,1
2022-09-01,NZDJPY,3
2022-09-01,AUDJPY,3
2022-09-01,USDJPY,3
2022-09-01,EURAUD,2
2022-09-01,CHFJPY,1
2022-09-02,NZDJPY,4
2022-09-02,XAGUSD,3
2022-09-02,GBPJPY,4
2022-09-02,CADJPY,4
2022-09-02,XAUUSD,4
2022-09-02,AUDJPY,2
2022-09-02,USDJPY,3
2022-09-02,EURJPY,1
2022-09-02,CHFJPY,1
2022-09-02,EURAUD,1
2022-09-05,NZDJPY,4
2022-09-05,XAGUSD,2
2022-09-05,GBPJPY,6
2022-09-05,CADJPY,5
2022-09-05,XAUUSD,4
2022-09-05,AUDJPY,2
2022-09-05,USDJPY,1
2022-09-05,EURJPY,1
2022-09-05,EURAUD,1
2022-09-05,CHFJPY,1
2022-09-06,XAGUSD,2
2022-09-06,NZDJPY,3
2022-09-06,GBPJPY,5
2022-09-06,XAUUSD,6
2022-09-06,AUDJPY,2
2022-09-06,CADJPY,4
2022-09-06,USDJPY,4
2022-09-06,EURAUD,1
2022-09-07,NZDJPY,3
2022-09-07,GBPJPY,4
2022-09-07,EURJPY,4
2022-09-07,XAUUSD,6
2022-09-07,CADJPY,3
2022-09-07,USDJPY,2
2022-09-07,AUDJPY,2
2022-09-07,CHFJPY,2
2022-09-07,EURAUD,1
2022-09-08,NZDJPY,3
2022-09-08,CADJPY,3
2022-09-08,XAGUSD,2
2022-09-08,XAUUSD,7
2022-09-08,USDJPY,3
2022-09-08,GBPJPY,4
2022-09-08,EURJPY,3
2022-09-08,CHFJPY,1
2022-09-08,EURAUD,1
2022-09-09,EURJPY,3
2022-09-09,XAUUSD,7
2022-09-09,CADJPY,3
2022-09-09,USDJPY,6
2022-09-09,XAGUSD,2
2022-09-09,GBPJPY,3
2022-09-09,CHFJPY,2
2022-09-09,EURAUD,1
2022-09-12,USDJPY,8
2022-09-12,CADJPY,3
2022-09-12,XAUUSD,7
2022-09-12,XAGUSD,1
2022-09-12,NZDJPY,1
2022-09-12,AUDJPY,1
2022-09-12,EURJPY,2
2022-09-12,GBPJPY,1
2022-09-12,CHFJPY,2
2022-09-12,EURAUD,1
2022-09-13,XAUUSD,8
2022-09-13,EURJPY,2
2022-09-13,GBPJPY,4
2022-09-13,USDJPY,7
2022-09-13,CHFJPY,2
2022-09-13,AUDJPY,2
2022-09-13,CADJPY,1
2022-09-13,NZDJPY,1
2022-09-14,USDJPY,4
2022-09-14,NZDJPY,1
2022-09-14,AUDJPY,2
2022-09-14,XAUUSD,7
2022-09-14,CHFJPY,4
2022-09-14,XAGUSD,1
2022-09-14,CADJPY,1
2022-09-14,GBPJPY,3
2022-09-14,EURJPY,3
2022-09-14,EURAUD,1
2022-09-15,XAGUSD,2
2022-09-15,USDJPY,7
2022-09-15,XAUUSD,6
2022-09-15,CHFJPY,4
2022-09-15,AUDJPY,1
2022-09-15,GBPJPY,3
2022-09-15,EURJPY,3
2022-09-15,EURAUD,1
2022-09-16,XAGUSD,4
2022-09-16,USDJPY,6
2022-09-16,XAUUSD,6
2022-09-16,CHFJPY,5
2022-09-16,EURJPY,4
2022-09-16,GBPJPY,2
2022-09-19,XAGUSD,2
2022-09-19,USDJPY,6
2022-09-19,XAUUSD,8
2022-09-19,CHFJPY,6
2022-09-19,NZDJPY,1
2022-09-19,EURJPY,3
2022-09-19,GBPJPY,1
2022-09-22,CHFJPY,7
2022-09-22,XAUUSD,6
2022-09-22,XAGUSD,1
2022-09-22,NZDJPY,1
2022-09-22,USDJPY,4
2022-09-22,CADJPY,2
2022-09-22,GBPJPY,3
2022-09-22,EURJPY,2
2022-09-22,EURCHF,1
2022-09-28,CHFJPY,7
2022-09-28,XAGUSD,2
2022-09-28,USDJPY,6
2022-09-28,EURJPY,1
2022-09-28,XAUUSD,6
2022-09-28,USDNOK,1
2022-09-28,EURAUD,1
2022-09-28,GBPJPY,2
2022-09-28,NZDJPY,1
2022-10-03,CHFJPY,5
2022-10-03,XAGUSD,2
2022-10-03,CADJPY,1
2022-10-03,EURJPY,2
2022-10-03,GBPAUD,3
2022-10-03,USDJPY,3
2022-10-03,USDNOK,1
2022-10-03,XAUUSD,5
2022-10-03,GBPCAD,1
2022-10-03,GBPJPY,3
2022-10-03,USDCHF,1
2022-10-07,CHFJPY,3
2022-10-07,XAGUSD,3
2022-10-07,CADJPY,1
2022-10-07,GBPNZD,1
2022-10-07,GBPCHF,1
2022-10-07,USDJPY,3
2022-10-07,USDNOK,2
2022-10-07,EURCHF,1
2022-10-07,XAUUSD,7
2022-10-07,USDSEK,1
2022-10-07,GBPJPY,3
2022-10-07,GBPCAD,1
2022-10-13,XAGUSD,2
2022-10-13,GBPAUD,1
2022-10-13,AUDJPY,1
2022-10-13,EURJPY,3
2022-10-13,CHFJPY,1
2022-10-13,USDJPY,2
2022-10-13,EURCHF,2
2022-10-13,XAUUSD,7
2022-10-13,USDNOK,1
2022-10-13,USDSEK,2
2022-10-13,GBPCAD,1
2022-10-13,GBPJPY,2
2022-10-13,USDCHF,1
2022-10-13,EURSEK,1
2022-10-21,XAGUSD,3
2022-10-21,GBPNZD,1
2022-10-21,GBPAUD,2
2022-10-21,CHFJPY,3
2022-10-21,EURJPY,2
2022-10-21,USDJPY,4
2022-10-21,EURCHF,2
2022-10-21,XAUUSD,5
2022-10-21,USDNOK,2
2022-10-21,USDCHF,2
2022-10-21,NZDJPY,1
2022-11-02,CADJPY,2
2022-11-02,EURJPY,3
2022-11-02,XAGUSD,2
2022-11-02,USDJPY,6
2022-11-02,CHFJPY,6
2022-11-02,AUDJPY,1
2022-11-02,GBPJPY,1
2022-11-02,XAUUSD,5
2022-11-02,USDCHF,1
2022-11-09,XAGUSD,2
2022-11-09,CADJPY,3
2022-11-09,EURJPY,4
2022-11-09,CHFJPY,5
2022-11-09,AUDJPY,2
2022-11-09,GBPJPY,1
2022-11-09,NZDJPY,1
2022-11-09,USDJPY,3
