date,pair,open_trades
2019-09-02,EURJPY,2
2019-09-02,XAUUSD,10
2019-09-02,AUDJPY,3
2019-09-02,GBPJPY,2
2019-09-02,GBPNZD,1
2019-09-02,XAGUSD,5
2019-09-02,CHFJPY,2
2019-09-02,USDJPY,2
2019-09-03,EURJPY,4
2019-09-03,XAUUSD,19
2019-09-03,AUDJPY,5
2019-09-03,GBPJPY,4
2019-09-03,GBPNZD,1
2019-09-03,XAGUSD,10
2019-09-03,CHFJPY,5
2019-09-03,USDJPY,2
2019-09-03,GBPCHF,2
2019-09-03,EURCHF,1
2019-09-03,GBPAUD,1
2019-09-04,EURJPY,6
2019-09-04,XAUUSD,24
2019-09-04,AUDJPY,8
2019-09-04,GBPJPY,7
2019-09-04,GBPNZD,3
2019-09-04,XAGUSD,16
2019-09-04,CHFJPY,6
2019-09-04,USDJPY,5
2019-09-04,GBPCHF,3
2019-09-04,EURCHF,1
2019-09-04,GBPAUD,1
2019-09-04,CADJPY,1
2019-09-05,EURJPY,8
2019-09-05,XAUUSD,30
2019-09-05,AUDJPY,10
2019-09-05,GBPJPY,8
2019-09-05,GBPNZD,6
2019-09-05,XAGUSD,22
2019-09-05,CHFJPY,7
2019-09-05,USDJPY,8
2019-09-05,GBPCHF,4
2019-09-05,EURCHF,1
2019-09-05,GBPAUD,1
2019-09-05,CADJPY,2
2019-09-05,NZDJPY,1
2019-09-06,EURJPY,9
2019-09-06,XAUUSD,39
2019-09-06,AUDJPY,11
2019-09-06,GBPJPY,11
2019-09-06,GBPNZD,9
2019-09-06,XAGUSD,28
2019-09-06,CHFJPY,7
2019-09-06,USDJPY,10
2019-09-06,GBPCHF,4
2019-09-06,EURCHF,1
2019-09-06,GBPAUD,1
2019-09-06,CADJPY,3
2019-09-06,NZDJPY,2
2019-09-09,XAUUSD,43
2019-09-09,AUDJPY,12
2019-09-09,GBPJPY,12
2019-09-09,GBPNZD,13
2019-09-09,XAGUSD,36
2019-09-09,EURJPY,9
2019-09-09,CHFJPY,7
2019-09-09,USDJPY,12
2019-09-09,GBPCHF,6
2019-09-09,EURCHF,1
2019-09-09,GBPAUD,1
2019-09-09,CADJPY,4
2019-09-09,NZDJPY,3
2019-09-10,XAUUSD,50
2019-09-10,AUDJPY,14
2019-09-10,GBPJPY,16
2019-09-10,GBPNZD,14
2019-09-10,XAGUSD,43
2019-09-10,EURJPY,10
2019-09-10,CHFJPY,7
2019-09-10,USDJPY,13
2019-09-10,GBPCHF,6
2019-09-10,EURCHF,1
2019-09-10,GBPAUD,1
2019-09-10,CADJPY,4
2019-09-10,NZDJPY,4
2019-09-11,XAUUSD,55
2019-09-11,AUDJPY,16
2019-09-11,GBPJPY,20
2019-09-11,GBPNZD,16
2019-09-11,XAGUSD,50
2019-09-11,EURJPY,10
2019-09-11,CHFJPY,7
2019-09-11,USDJPY,14
2019-09-11,GBPCHF,7
2019-09-11,EURCHF,1
2019-09-11,GBPAUD,1
2019-09-11,CADJPY,4
2019-09-11,NZDJPY,6
2019-09-12,XAUUSD,63
2019-09-12,AUDJPY,18
2019-09-12,GBPJPY,24
2019-09-12,GBPNZD,19
2019-09-12,XAGUSD,56
2019-09-12,EURJPY,10
2019-09-12,CHFJPY,7
2019-09-12,USDJPY,15
2019-09-12,GBPCHF,8
2019-09-12,EURCHF,1
2019-09-12,GBPAUD,1
2019-09-12,CADJPY,4
2019-09-12,NZDJPY,5
2019-09-13,XAUUSD,70
2019-09-13,AUDJPY,20
2019-09-13,GBPJPY,27
2019-09-13,GBPNZD,21
2019-09-13,XAGUSD,63
2019-09-13,EURJPY,11
2019-09-13,CHFJPY,7
2019-09-13,USDJPY,16
2019-09-13,GBPCHF,8
2019-09-13,EURCHF,1
2019-09-13,GBPAUD,1
2019-09-13,CADJPY,5
2019-09-13,NZDJPY,5
2019-09-16,XAUUSD,78
2019-09-16,GBPJPY,31
2019-09-16,GBPNZD,22
2019-09-16,XAGUSD,70
2019-09-16,EURJPY,12
2019-09-16,CHFJPY,7
2019-09-16,USDJPY,17
2019-09-16,AUDJPY,20
2019-09-16,GBPCHF,8
2019-09-16,EURCHF,1
2019-09-16,GBPAUD,1
2019-09-16,CADJPY,4
2019-09-16,NZDJPY,5
2019-09-17,XAUUSD,86
2019-09-17,GBPJPY,32
2019-09-17,GBPNZD,25
2019-09-17,XAGUSD,76
2019-09-17,EURJPY,14
2019-09-17,CHFJPY,7
2019-09-17,USDJPY,18
2019-09-17,AUDJPY,20
2019-09-17,GBPCHF,7
2019-09-17,EURCHF,1
2019-09-17,GBPAUD,1
2019-09-17,CADJPY,4
2019-09-17,NZDJPY,5
2019-09-17,GBPUSD,1
2019-09-18,XAUUSD,93
2019-09-18,GBPJPY,32
2019-09-18,GBPNZD,26
2019-09-18,XAGUSD,84
2019-09-18,EURJPY,15
2019-09-18,CHFJPY,7
2019-09-18,USDJPY,21
2019-09-18,AUDJPY,20
2019-09-18,GBPCHF,7
2019-09-18,EURCHF,1
