date,pair,open_trades
2022-09-01,XAGUSD,2
2022-09-01,GBPJPY,2
2022-09-01,XAUUSD,5
2022-09-01,CADJPY,5
2022-09-01,EURJPY,1
2022-09-01,NZDJPY,3
2022-09-01,AUDJPY,3
2022-09-01,USDJPY,3
2022-09-01,EURAUD,2
2022-09-01,CHFJPY,1
2022-09-02,XAGUSD,5
2022-09-02,GBPJPY,6
2022-09-02,XAUUSD,9
2022-09-02,CADJPY,9
2022-09-02,EURJPY,2
2022-09-02,NZDJPY,7
2022-09-02,AUDJPY,5
2022-09-02,USDJPY,6
2022-09-02,EURAUD,3
2022-09-02,CHFJPY,2
2022-09-05,XAGUSD,7
2022-09-05,GBPJPY,12
2022-09-05,XAUUSD,13
2022-09-05,CADJPY,14
2022-09-05,EURJPY,3
2022-09-05,NZDJPY,11
2022-09-05,AUDJPY,7
2022-09-05,USDJPY,7
2022-09-05,EURAUD,4
2022-09-05,CHFJPY,3
2022-09-06,XAGUSD,9
2022-09-06,GBPJPY,17
2022-09-06,XAUUSD,19
2022-09-06,CADJPY,18
2022-09-06,EURJPY,3
2022-09-06,NZDJPY,14
2022-09-06,AUDJPY,9
2022-09-06,USDJPY,11
2022-09-06,EURAUD,5
2022-09-06,CHFJPY,3
2022-09-07,XAGUSD,9
2022-09-07,GBPJPY,21
2022-09-07,XAUUSD,25
2022-09-07,CADJPY,21
2022-09-07,EURJPY,7
2022-09-07,NZDJPY,17
2022-09-07,AUDJPY,11
2022-09-07,USDJPY,13
2022-09-07,EURAUD,6
2022-09-07,CHFJPY,5
2022-09-08,XAGUSD,10
2022-09-08,CADJPY,24
2022-09-08,EURJPY,10
2022-09-08,XAUUSD,31
2022-09-08,NZDJPY,20
2022-09-08,AUDJPY,11
2022-09-08,GBPJPY,24
2022-09-08,USDJPY,16
2022-09-08,EURAUD,7
2022-09-08,CHFJPY,6
2022-09-09,XAGUSD,11
2022-09-09,CADJPY,27
2022-09-09,EURJPY,13
2022-09-09,XAUUSD,38
2022-09-09,NZDJPY,19
2022-09-09,AUDJPY,11
2022-09-09,GBPJPY,26
2022-09-09,USDJPY,22
2022-09-09,EURAUD,8
2022-09-09,CHFJPY,8
2022-09-12,XAGUSD,11
2022-09-12,CADJPY,30
2022-09-12,EURJPY,15
2022-09-12,XAUUSD,45
2022-09-12,NZDJPY,19
2022-09-12,AUDJPY,12
2022-09-12,GBPJPY,26
2022-09-12,USDJPY,30
2022-09-12,EURAUD,9
2022-09-12,CHFJPY,10
2022-09-13,XAGUSD,10
2022-09-13,CADJPY,31
2022-09-13,EURJPY,17
2022-09-13,XAUUSD,53
2022-09-13,NZDJPY,19
2022-09-13,AUDJPY,14
2022-09-13,GBPJPY,29
2022-09-13,USDJPY,37
2022-09-13,EURAUD,9
2022-09-13,CHFJPY,12
2022-09-14,XAGUSD,11
2022-09-14,CADJPY,32
2022-09-14,EURJPY,19
2022-09-14,XAUUSD,60
2022-09-14,NZDJPY,19
2022-09-14,AUDJPY,16
2022-09-14,GBPJPY,31
2022-09-14,USDJPY,41
2022-09-14,EURAUD,10
2022-09-14,CHFJPY,16
2022-09-15,XAUUSD,66
2022-09-15,NZDJPY,18
2022-09-15,CADJPY,30
2022-09-15,AUDJPY,17
2022-09-15,GBPJPY,34
2022-09-15,USDJPY,48
2022-09-15,EURAUD,11
2022-09-15,CHFJPY,20
2022-09-15,XAGUSD,11
2022-09-15,EURJPY,21
2022-09-16,XAUUSD,71
2022-09-16,NZDJPY,17
2022-09-16,CADJPY,28
2022-09-16,AUDJPY,17
2022-09-16,GBPJPY,36
2022-09-16,USDJPY,54
2022-09-16,EURAUD,11
2022-09-16,CHFJPY,25
2022-09-16,XAGUSD,14
2022-09-16,EURJPY,24
2022-09-19,XAUUSD,78
2022-09-19,NZDJPY,17
2022-09-19,CADJPY,26
2022-09-19,AUDJPY,17
2022-09-19,GBPJPY,37
2022-09-19,USDJPY,59
2022-09-19,EURAUD,11
2022-09-19,CHFJPY,31
2022-09-19,XAGUSD,15
2022-09-19,EURJPY,27
2022-09-20,XAUUSD,76
2022-09-20,NZDJPY,16
2022-09-20,CADJPY,26
2022-09-20,AUDJPY,17
2022-09-20,GBPJPY,36
2022-09-20,USDJPY,59
2022-09-20,EURAUD,11
2022-09-20,CHFJPY,31
2022-09-20,XAGUSD,14
2022-09-20,EURJPY,26
2022-09-21,XAUUSD,75
2022-09-21,NZDJPY,14
2022-09-21,CADJPY,25
2022-09-21,AUDJPY,16
2022-09-21,GBPJPY,36
2022-09-21,USDJPY,58
2022-09-21,EURAUD,11
2022-09-21,CHFJPY,31
2022-09-21,XAGUSD,14
2022-09-21,EURJPY,26
2022-09-22,AUDJPY,16
2022-09-22,NZDJPY,14
2022-09-22,CADJPY,26
2022-09-22,GBPJPY,39
2022-09-22,USDJPY,59
2022-09-22,XAUUSD,79
2022-09-22,EURAUD,11
2022-09-22,CHFJPY,38
2022-09-22,XAGUSD,13
2022-09-22,EURJPY,28
2022-09-22,EURCHF,1
2022-09-23,AUDJPY,16
2022-09-23,NZDJPY,13
2022-09-23,CADJPY,26
2022-09-23,GBPJPY,39
2022-09-23,USDJPY,56
2022-09-23,XAUUSD,77
2022-09-23,EURAUD,11
2022-09-23,CHFJPY,38
2022-09-23,EURJPY,28
2022-09-23,XAGUSD,10
2022-09-23,EURCHF,1
2022-09-26,AUDJPY,16
2022-09-26,NZDJPY,12
2022-09-26,CADJPY,25
2022-09-26,GBPJPY,39
2022-09-26,USDJPY,53
2022-09-26,XAUUSD,75
2022-09-26,EURAUD,11
2022-09-26,CHFJPY,38
2022-09-26,EURJPY,28
2022-09-26,XAGUSD,8
2022-09-26,EURCHF,1
2022-09-27,AUDJPY,15
2022-09-27,NZDJPY,11
2022-09-27,CADJPY,25
2022-09-27,GBPJPY,39
2022-09-27,USDJPY,52
2022-09-27,XAUUSD,73
2022-09-27,EURAUD,11
2022-09-27,CHFJPY,37
2022-09-27,EURJPY,28
2022-09-27,XAGUSD,8
2022-09-27,EURCHF,1
2022-09-28,AUDJPY,14
2022-09-28,NZDJPY,12
