tenor,cum_pnl,ann_return,ann_vol,sharpe
1W,342542.1216618002,0.06493266054833426,0.009950481613928386,6.525579672188275
2W,479761.44066954317,0.08329949504712889,0.010487354810043176,7.942850848085872
3W,558160.806495258,0.08333655759929592,0.01272945469622023,6.546750005248939
1M,822554.3082038674,0.09787954014762086,0.019646525756974422,4.9820279350344725
2M,1086108.3896608856,0.11492401072322243,0.033483288515223905,3.4322796779942846
3M,1417024.965417624,0.15478256530714113,0.0483773774520534,3.1994823502068797
4M,2357707.617796248,0.1970281496262263,0.08988652581102588,2.1919653457343653
6M,3706637.4834920964,0.22571317295283022,0.2132432169578642,1.0584776208728366
9M,6030917.373701115,0.2800279707959438,0.2214307508088587,1.2646300018088583
1Y,0.0,0.0,0.0,0.0
