date,delta,gamma,vega,theta
2019-09-02,155622.95905345381,-156402.4620806041,-220.50934791685728,437.5278259524176
2019-09-03,280778.72035074857,-297892.4589085427,-399.99841213629287,820.8113702268312
2019-09-04,400420.4129238014,-361162.7247576638,-618.660688020389,1161.0553767446474
2019-09-05,570336.3516699844,-435531.4105621382,-782.2456982430956,1485.2066939191873
2019-09-06,759489.9470747334,-435448.8272867109,-910.5032050876739,1609.0646306687722
2019-09-09,855278.2353617782,-393292.16941505054,-1005.8005681922542,1547.6653221883032
2019-09-10,913005.2755420206,-404656.4325552815,-1239.617131762618,1726.5887183072155
2019-09-11,944563.7798596257,-442668.5292833039,-1475.6919188987458,2047.7665990673481
2019-09-12,995151.3138789857,-477902.423183334,-1721.657790805795,2289.126169560804
2019-09-13,1088575.2938826245,-486949.52298181166,-1908.3095981070505,2448.0576488722695
2019-09-16,1096540.8846507154,-537730.3370272222,-2034.749078663756,2313.673599416507
2019-09-17,1101117.448093818,-607515.9561090511,-2267.3775936623965,2673.741699639539
2019-09-18,1106580.6184754688,-718558.8885561296,-2455.081890062075,2903.7344494739486
2019-09-19,988951.7305847051,-648158.4493631809,-2342.7810293669986,2538.328099098116
2019-09-20,853010.833380875,-579978.2500628718,-2233.1592716373743,2206.3318831590127
2019-09-23,691631.3703772809,-658517.328841419,-2533.383897419782,2525.349358006042
2019-09-24,577265.4108781198,-613410.3157500079,-2475.4057118209107,2477.1464281294884
2019-09-25,458344.7794422302,-562137.8940809226,-2376.077278193426,2300.794839685736
2019-09-26,390413.31694443047,-497231.21839829686,-2385.976840049796,2207.8315626736494
2019-09-27,438072.6359924501,-570502.5924286746,-2667.765252137659,2672.4736295529983
2019-09-30,373095.2694998276,-405344.3709980517,-2489.6512167843102,2346.4768601826186
2019-10-01,283623.010760285,-336837.14584685455,-2415.2545928825853,2170.176690992127
2019-10-02,186849.4676342765,-510206.78557784477,-2746.6104974444274,2698.708984231059
2019-10-03,120636.63240744756,-480476.6529122993,-2655.6406971875886,2512.245721163038
2019-10-04,-27623.669214291345,-432240.73852167896,-2514.28961364829,2353.730826609128
2019-10-07,-25341.665003820846,-385417.2807267281,-2780.4415228757857,2646.620085608466
