date,pair,new_trades
2006-09-01,AUDJPY,3
2006-09-01,USDJPY,8
2006-09-01,CHFJPY,1
2006-09-01,NZDUSD,1
2006-09-01,GBPJPY,4
2006-09-01,EURJPY,2
2006-09-01,XAGUSD,4
2006-09-01,XAUUSD,2
2006-09-01,NZDJPY,1
2006-09-01,EURUSD,1
2006-09-04,AUDJPY,3
2006-09-04,USDJPY,8
2006-09-04,CHFJPY,1
2006-09-04,NZDUSD,1
2006-09-04,GBPJPY,4
2006-09-04,EURJPY,2
2006-09-04,XAGUSD,4
2006-09-04,XAUUSD,2
2006-09-04,NZDJPY,1
2006-09-04,EURUSD,1
2006-09-05,NZDUSD,2
2006-09-05,CHFJPY,5
2006-09-05,AUDJPY,3
2006-09-05,USDJPY,6
2006-09-05,GBPJPY,2
2006-09-05,EURJPY,2
2006-09-05,XAGUSD,4
2006-09-05,NZDJPY,1
2006-09-05,EURUSD,1
2006-09-05,XAUUSD,1
2006-09-06,NZDUSD,2
2006-09-06,CHFJPY,5
2006-09-06,AUDJPY,3
2006-09-06,USDJPY,6
2006-09-06,GBPJPY,2
2006-09-06,EURJPY,2
2006-09-06,XAGUSD,5
2006-09-06,NZDJPY,1
2006-09-06,EURUSD,1
2006-09-07,CHFJPY,5
2006-09-07,NZDUSD,2
2006-09-07,AUDJPY,3
2006-09-07,USDJPY,5
2006-09-07,GBPJPY,2
2006-09-07,EURJPY,2
2006-09-07,XAGUSD,6
2006-09-07,NZDJPY,1
2006-09-07,EURUSD,1
2006-09-08,CHFJPY,6
2006-09-08,NZDUSD,2
2006-09-08,AUDJPY,3
2006-09-08,USDJPY,6
2006-09-08,GBPJPY,2
2006-09-08,EURJPY,2
2006-09-08,XAGUSD,4
2006-09-08,NZDJPY,1
2006-09-08,EURUSD,1
2006-09-11,NZDUSD,2
2006-09-11,CHFJPY,7
2006-09-11,AUDJPY,3
2006-09-11,USDJPY,6
2006-09-11,GBPJPY,2
2006-09-11,EURJPY,2
2006-09-11,XAGUSD,4
2006-09-11,EURUSD,1
2006-09-12,NZDUSD,2
2006-09-12,CHFJPY,7
2006-09-12,AUDJPY,3
2006-09-12,USDJPY,6
2006-09-12,GBPJPY,2
2006-09-12,EURJPY,2
2006-09-12,XAGUSD,4
2006-09-12,EURUSD,1
2006-09-13,NZDUSD,2
2006-09-13,CHFJPY,7
2006-09-13,AUDJPY,3
2006-09-13,USDJPY,6
2006-09-13,GBPJPY,2
2006-09-13,EURJPY,2
2006-09-13,XAGUSD,4
2006-09-13,EURUSD,1
2006-09-14,CHFJPY,7
2006-09-14,AUDJPY,3
2006-09-14,USDJPY,7
2006-09-14,NZDUSD,1
2006-09-14,GBPJPY,2
2006-09-14,EURJPY,2
2006-09-14,XAGUSD,4
2006-09-14,EURUSD,1
2006-09-15,CHFJPY,5
2006-09-15,AUDJPY,3
2006-09-15,USDJPY,7
2006-09-15,NZDUSD,1
2006-09-15,GBPJPY,2
2006-09-15,EURJPY,4
2006-09-15,XAGUSD,4
2006-09-15,EURUSD,1
2006-09-18,CHFJPY,4
2006-09-18,AUDJPY,2
2006-09-18,USDJPY,6
2006-09-18,NZDUSD,1
2006-09-18,GBPJPY,2
2006-09-18,EURJPY,4
2006-09-18,XAGUSD,6
2006-09-18,NZDJPY,1
2006-09-18,XAUUSD,1
2006-09-19,CHFJPY,4
2006-09-19,AUDJPY,3
2006-09-19,USDJPY,6
2006-09-19,NZDUSD,1
2006-09-19,GBPJPY,2
2006-09-19,EURJPY,3
2006-09-19,XAGUSD,6
2006-09-19,NZDJPY,1
2006-09-19,XAUUSD,1
2006-09-22,CHFJPY,5
2006-09-22,AUDJPY,3
2006-09-22,USDJPY,8
2006-09-22,NZDUSD,1
2006-09-22,GBPJPY,2
2006-09-22,EURJPY,3
2006-09-22,XAGUSD,4
2006-09-22,XAUUSD,1
2006-09-28,CHFJPY,4
2006-09-28,NZDUSD,2
2006-09-28,AUDJPY,3
2006-09-28,USDJPY,7
2006-09-28,GBPJPY,2
2006-09-28,EURJPY,4
2006-09-28,XAGUSD,4
2006-09-28,NZDJPY,1
2006-10-03,NZDUSD,2
2006-10-03,CHFJPY,5
2006-10-03,AUDJPY,3
2006-10-03,USDJPY,7
2006-10-03,GBPJPY,2
2006-10-03,EURJPY,4
2006-10-03,XAGUSD,4
2006-10-09,AUDJPY,4
2006-10-09,NZDUSD,2
2006-10-09,CHFJPY,4
2006-10-09,USDJPY,4
2006-10-09,GBPJPY,3
2006-10-09,EURJPY,6
2006-10-09,XAGUSD,4
2006-10-13,AUDJPY,6
2006-10-13,USDJPY,3
2006-10-13,USDCAD,1
2006-10-13,NZDUSD,2
2006-10-13,GBPJPY,3
2006-10-13,EURNOK,1
2006-10-13,EURJPY,4
2006-10-13,XAGUSD,4
2006-10-13,XAUUSD,1
2006-10-13,NZDJPY,1
2006-10-13,CHFJPY,1
2006-10-23,AUDJPY,6
2006-10-23,USDJPY,4
2006-10-23,EURSEK,1
2006-10-23,NZDUSD,1
2006-10-23,GBPJPY,5
2006-10-23,EURJPY,3
2006-10-23,XAGUSD,4
2006-10-23,XAUUSD,1
2006-10-23,CHFJPY,2
2006-11-03,CHFJPY,1
2006-11-03,GBPJPY,4
2006-11-03,AUDJPY,7
2006-11-03,USDJPY,8
2006-11-03,EURJPY,3
2006-11-03,XAGUSD,4
2006-11-10,CHFJPY,1
2006-11-10,GBPJPY,8
2006-11-10,AUDJPY,7
2006-11-10,USDCHF,2
2006-11-10,NZDUSD,2
2006-11-10,EURJPY,2
2006-11-10,XAGUSD,4
2006-11-10,USDJPY,1
2006-11-17,CHFJPY,1
2006-11-17,GBPJPY,3
2006-11-17,AUDJPY,8
2006-11-17,NZDUSD,2
2006-11-17,USDJPY,6
2006-11-17,EURJPY,3
2006-11-17,XAGUSD,4
2006-12-01,USDJPY,6
2006-12-01,USDNOK,4
2006-12-01,EURUSD,6
2006-12-01,AUDJPY,5
2006-12-01,XAGUSD,4
2006-12-01,USDCHF,1
2006-12-01,GBPUSD,1
2006-12-08,EURUSD,10
2006-12-08,AUDJPY,6
2006-12-08,USDCHF,2
2006-12-08,NZDUSD,2
2006-12-08,GBPJPY,1
2006-12-08,EURJPY,1
2006-12-08,XAGUSD,4
2006-12-08,GBPUSD,1
2006-12-14,AUDJPY,7
2006-12-14,USDJPY,5
2006-12-14,CHFJPY,1
2006-12-14,NZDUSD,2
2006-12-14,GBPJPY,1
2006-12-14,EURJPY,1
2006-12-14,XAGUSD,4
2006-12-14,EURUSD,4
2006-12-14,GBPUSD,1
2006-12-14,USDCAD,1
2006-12-22,AUDJPY,7
2006-12-22,USDJPY,7
2006-12-22,USDCHF,1
2006-12-22,NZDUSD,2
2006-12-22,USDNOK,1
2006-12-22,EURJPY,1
