date,pair,open_trades
2019-09-02,EURJPY,1
2019-09-02,AUDUSD,6
2019-09-02,USDCHF,7
2019-09-02,EURCHF,6
2019-09-02,GBPUSD,3
2019-09-02,XAGUSD,2
2019-09-02,EURAUD,2
2019-09-03,EURJPY,2
2019-09-03,AUDUSD,13
2019-09-03,USDCHF,10
2019-09-03,EURCHF,12
2019-09-03,GBPUSD,6
2019-09-03,XAGUSD,3
2019-09-03,EURAUD,5
2019-09-03,CHFJPY,2
2019-09-03,EURGBP,1
2019-09-04,EURJPY,4
2019-09-04,AUDUSD,19
2019-09-04,USDCHF,14
2019-09-04,EURCHF,18
2019-09-04,GBPUSD,8
2019-09-04,XAGUSD,6
2019-09-04,EURAUD,6
2019-09-04,CHFJPY,2
2019-09-04,EURGBP,2
2019-09-04,USDJPY,1
2019-09-04,GBPCAD,1
2019-09-05,EURJPY,5
2019-09-05,AUDUSD,23
2019-09-05,USDCHF,21
2019-09-05,EURCHF,24
2019-09-05,GBPUSD,10
2019-09-05,XAGUSD,7
2019-09-05,EURAUD,8
2019-09-05,CHFJPY,2
2019-09-05,EURGBP,3
2019-09-05,USDJPY,2
2019-09-05,GBPCAD,1
2019-09-05,NZDJPY,1
2019-09-05,GBPAUD,1
2019-09-06,EURJPY,7
2019-09-06,AUDUSD,27
2019-09-06,USDCHF,27
2019-09-06,EURCHF,30
2019-09-06,GBPUSD,12
2019-09-06,XAGUSD,8
2019-09-06,EURAUD,9
2019-09-06,CHFJPY,2
2019-09-06,EURGBP,3
2019-09-06,USDJPY,3
2019-09-06,GBPCAD,1
2019-09-06,NZDJPY,2
2019-09-06,GBPAUD,3
2019-09-06,GBPCHF,1
2019-09-09,AUDUSD,32
2019-09-09,USDCHF,32
2019-09-09,EURCHF,31
2019-09-09,GBPUSD,14
2019-09-09,XAGUSD,10
2019-09-09,EURAUD,10
2019-09-09,EURJPY,7
2019-09-09,CHFJPY,2
2019-09-09,EURGBP,4
2019-09-09,USDJPY,4
2019-09-09,GBPCAD,2
2019-09-09,NZDJPY,3
2019-09-09,GBPAUD,5
2019-09-09,GBPCHF,2
2019-09-09,CADJPY,1
2019-09-10,AUDUSD,34
2019-09-10,USDCHF,37
2019-09-10,EURCHF,34
2019-09-10,GBPUSD,17
2019-09-10,XAGUSD,15
2019-09-10,EURAUD,11
2019-09-10,CHFJPY,2
2019-09-10,EURGBP,4
2019-09-10,USDJPY,5
2019-09-10,EURJPY,8
2019-09-10,GBPCAD,2
2019-09-10,NZDJPY,4
2019-09-10,GBPAUD,5
2019-09-10,GBPCHF,3
2019-09-10,CADJPY,1
2019-09-10,AUDJPY,1
2019-09-11,AUDUSD,38
2019-09-11,USDCHF,42
2019-09-11,EURCHF,35
2019-09-11,GBPUSD,20
2019-09-11,XAGUSD,19
2019-09-11,EURAUD,12
2019-09-11,CHFJPY,2
2019-09-11,EURGBP,5
2019-09-11,EURJPY,8
2019-09-11,GBPCAD,2
2019-09-11,NZDJPY,6
2019-09-11,USDJPY,5
2019-09-11,GBPAUD,5
2019-09-11,GBPCHF,4
2019-09-11,CADJPY,2
2019-09-11,AUDJPY,2
2019-09-12,AUDUSD,42
2019-09-12,USDCHF,47
2019-09-12,EURCHF,36
2019-09-12,GBPUSD,22
2019-09-12,XAGUSD,22
2019-09-12,EURAUD,13
2019-09-12,CHFJPY,2
2019-09-12,EURGBP,6
2019-09-12,EURJPY,9
2019-09-12,GBPCAD,3
2019-09-12,GBPAUD,6
2019-09-12,USDJPY,6
2019-09-12,NZDJPY,5
2019-09-12,GBPCHF,5
2019-09-12,CADJPY,4
2019-09-12,AUDJPY,3
2019-09-13,AUDUSD,46
2019-09-13,USDCHF,52
2019-09-13,EURCHF,40
2019-09-13,GBPUSD,24
2019-09-13,XAGUSD,26
2019-09-13,EURAUD,14
2019-09-13,CHFJPY,2
2019-09-13,EURGBP,6
2019-09-13,EURJPY,9
2019-09-13,GBPCAD,3
2019-09-13,GBPAUD,6
2019-09-13,GBPCHF,5
2019-09-13,NZDJPY,5
2019-09-13,USDJPY,7
2019-09-13,CADJPY,6
2019-09-13,AUDJPY,4
2019-09-16,EURCHF,41
2019-09-16,AUDUSD,52
2019-09-16,USDCHF,57
2019-09-16,GBPUSD,26
2019-09-16,XAGUSD,30
2019-09-16,EURAUD,15
2019-09-16,CHFJPY,2
2019-09-16,EURGBP,6
2019-09-16,EURJPY,11
2019-09-16,GBPCAD,3
2019-09-16,GBPAUD,6
2019-09-16,GBPCHF,6
2019-09-16,NZDJPY,5
2019-09-16,AUDJPY,4
2019-09-16,USDJPY,7
2019-09-16,CADJPY,5
2019-09-17,EURCHF,41
2019-09-17,AUDUSD,59
2019-09-17,USDCHF,62
2019-09-17,GBPUSD,28
2019-09-17,XAGUSD,34
2019-09-17,EURAUD,16
2019-09-17,CHFJPY,2
2019-09-17,EURGBP,6
2019-09-17,EURJPY,14
2019-09-17,GBPCAD,3
2019-09-17,GBPAUD,6
2019-09-17,GBPCHF,6
2019-09-17,AUDJPY,3
2019-09-17,NZDJPY,5
2019-09-17,CADJPY,5
2019-09-17,USDJPY,7
2019-09-18,EURCHF,41
2019-09-18,AUDUSD,68
2019-09-18,USDCHF,68
2019-09-18,GBPUSD,29
2019-09-18,XAGUSD,38
2019-09-18,EURAUD,17
2019-09-18,CHFJPY,2
2019-09-18,EURGBP,7
2019-09-18,GBPCAD,3
2019-09-18,EURJPY,15
2019-09-18,GBPAUD,6
2019-09-18,GBPCHF,6
2019-09-18,NZDJPY,4
2019-09-18,USDJPY,8
2019-09-18,AUDJPY,2
2019-09-18,CADJPY,4
2019-09-19,EURCHF,40
2019-09-19,AUDUSD,68
2019-09-19,USDCHF,67
2019-09-19,GBPUSD,29
2019-09-19,XAGUSD,38
2019-09-19,EURAUD,17
2019-09-19,CHFJPY,2
2019-09-19,EURGBP,7
2019-09-19,GBPCAD,3
2019-09-19,GBPAUD,6
2019-09-19,EURJPY,14
2019-09-19,GBPCHF,6
2019-09-19,NZDJPY,4
2019-09-19,USDJPY,7
2019-09-19,CADJPY,3
2019-09-19,AUDJPY,1
2019-09-20,EURCHF,39
2019-09-20,AUDUSD,68
2019-09-20,USDCHF,66
2019-09-20,GBPUSD,29
