tenor,cum_pnl,ann_return,ann_vol,sharpe
1W,185603.06665371553,0.04546873885649658,0.008732711739679684,5.206714730991953
2W,180896.71033133529,0.04431596262001759,0.00815104359658631,5.436845245015902
3W,186913.4412828404,0.04579012287341235,0.009490200955413891,4.824989806700604
1M,246603.64203151493,0.05386992271488089,0.01095072407299891,4.919302354417588
2M,1002435.5167943788,0.1112204691247849,0.032785230276008985,3.392395544836905
3M,1033423.8539040539,0.1315833009531981,0.03919244353941958,3.357364049548281
4M,1449304.2193849229,0.14440701572082099,0.06525777138625198,2.212870783865653
6M,3577811.557715213,0.19632731823215596,0.1943778866435426,1.0100290810970092
9M,2960569.639653625,0.15459248695239572,0.10438347570749971,1.4810053593692378
1Y,0.0,0.0,0.0,0.0
